Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CAPELLA APPAREL,BP5399,5,14.29,,,Full,Regular,Pocket,Casual,Single,Caucasian,Size Chart,
CAPELLA APPAREL,BP5399X,6.75,17,,,Full,Regular,Pocket,Casual,Single,"Plus, Latina/Black",Size Chart,
CAPELLA APPAREL,BP5542,6,16,,,Full,Loose,"Wide Leg, Pocket",Casual,Single,Latina/Black,,
CAPELLA APPAREL,BS5489,5.5,14.25,,,Maxi Skirt,Loose,"Slit, Mesh",Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BT2566,5,13,Long,Round,Crop Top,Slim,Button/Zipper,Casual,Single,Latina/Black,,6/5 outdoor pic
CAPELLA APPAREL,BT2662,3.5,12.25,Long,Mock,Waist Top,Regular,,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT2845,4.25,12.5,Short,Round,,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT2847,3,11,Short,Round,Crop Top,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT2954,4.25,12.5,Long,Round,Crop Top,Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BT2986,5,14.5,Long,Round,,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT2988,3.75,14,Long,Round,Crop Top,Slim,Mesh,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT3325X,6.25,15,Long,V Neck,Crop Top,Slim,Wrap,Casual,Single,"Plus, Latina/Black",,
CAPELLA APPAREL,BT3333,3,10.89,Short,Round,Crop Top,Slim,,Casual,Single,Latina/Black,"Video, Size Chart",
CAPELLA APPAREL,BT3335,5.5,14.5,Short,V Neck,Waist Top,Slim,"Ruched, Drawstring",Casual,Single,Latina/Black,,
CAPELLA APPAREL,BT3335X,7,16.25->18.25,Short,V Neck,Waist Top,Slim,"Ruched, Drawstring",Casual,Single,"Plus, Latina/Black",,
CAPELLA APPAREL,BT3339,5,14.5,Long,Split,Crop Top,Slim,"Button/Zipper, Slit, Lettuce Trim",Casual,Single,Latina/Black,,6/11 outdoor pic
CAPELLA APPAREL,BT3357,3.75,11.75,Short,Round,Waist Top,Loose,,Lounge,Single,,,
CAPELLA APPAREL,BT3357X,5,13.5,Short,Round,Waist Top,Loose,,Lounge,Single,"Plus, Latina/Black",,
CAPELLA APPAREL,BT3544,5.5,14,Short,Off Shoulder,Waist Top,Regular,"Ruched, Puff, Stripe",Casual,Single,Latina/Black,,6/5 outdoor pic
CAPELLA APPAREL,BT3544X,7,16,Short,Off Shoulder,Waist Top,Regular,"Ruched, Puff, Shirred",Casual,Single,"Plus, Latina/Black",,
CAPELLA APPAREL,BT3579,3,11.5,Long,Round,Crop Top,Slim,,Casual,Single,Latina/Black,Size Chart,5/30 outdoor pic
CAPELLA APPAREL,BT3649,6,16,Long,Cut Out,,Slim,Cut Out,Sexy,Single,Latina/Black,Video,
CAPELLA APPAREL,BT3932,5.5,14,Sleeveless,One Shoulder,,Slim,Cut Out,Sexy,Single,"Latina/Black, Caucasian",,
CAPELLA APPAREL,BT3952,4,12,Short,Crew,Long Top,Loose,Twist,Lounge,Single,Caucasian,,
CAPELLA APPAREL,BT3969,2.75,10.5,Sleeveless,Cami,Crop Top,Slim,,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT3971,3.5,12.25,Sleeveless,Cut Out,Crop Top,Slim,Cut Out,Casual,Single,Latina/Black,Video,5/30 6/5 outdoor pic
CAPELLA APPAREL,BT3972,3.5,12.25,Sleeveless,One Shoulder,Crop Top,Slim,Cut Out,Casual,Single,"Latina/Black, Caucasian",,
CAPELLA APPAREL,BT5201,3,11,Sleeveless,V Neck,Waist Top,Slim,,Casual,Single,"Caucasian, Latina/Black",,6/5 outdoor pic
OUTLET,BT5300,5,8.9,Sleeveless,Hooded,Crop Top,Regular,Drawstring,Casual,Single,Caucasian,,5/30 outdoor pic
CAPELLA APPAREL,BT5343,3.75,12.5,Long,Round,Waist Top,Slim,,Casual,Single,"Caucasian, Latina/Black",Size Chart,
CAPELLA APPAREL,BT5409,2.75,11,Sleeveless,Round,Crop Top,Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BT5492,3.5,11.5,Short,Round,Waist Top,Slim,,Casual,Single,Latina/Black,"Video, Size Chart",
CAPELLA APPAREL,BT5507,2.75,11,Sleeveless,Tube,Crop Top,Slim,Mesh,Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BT5528,2.75,10,Sleeveless,Halter,Waist Top,Slim,Stripe,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BT5558,4.75,13,Long,Scoop,,Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BT5574,3,11,Short,Square,Crop Top,Slim,Stripe,Casual,Single,Latina/Black,"Video, Size Chart",
CAPELLA APPAREL,BT5582,3.25,12,Long,Square,Waist Top,Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BT5583,3,11.25,Short,Mock,Waist Top,Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BTD3742,14.5,28,Long,Jacket,"Long Top, Midi Dress",Regular,,Lounge,Single,"Caucasian, Latina/Black",Size Chart,
CAPELLA APPAREL,BTP2955,7,10.99,Sleeveless,Scoop,"Waist Top, Shorts",Regular,,Lounge,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BTP2955X,9,18.75,Sleeveless,Scoop,"Waist Top, Shorts",Regular,,Lounge,Single,"Plus, Latina/Black",Size Chart,
CAPELLA APPAREL,BTP3245X,10.75,21,Sleeveless,Scoop,"Crop Top, Full",Slim,"Ruched, Pocket, Drawstring",Casual,Single,Plus,,
CAPELLA APPAREL,BTP3398,10.5,20.65,Long,Round,"Crop Top, Full",Regular,Pocket,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BTP3398X,12.5,23.5,Long,Round,"Crop Top, Full",Regular,Pocket,Casual,Single,"Plus, Caucasian",Size Chart,
CAPELLA APPAREL,BTP3457,7.5,16.75,Sleeveless,Round,"Crop Top, Full",Regular,"Drawstring, Pocket",Lounge,Single,Latina/Black,,
CAPELLA APPAREL,BTP3457X,9.5,19.25,Sleeveless,Round,"Crop Top, Full",Regular,"Drawstring, Pocket",Lounge,Single,Latina/Black,,
CAPELLA APPAREL,BTP3495,16.5,29.5,Long,Jacket,"Crop Top, Full",Regular,"Drawstring, Button/Zipper, Pocket",Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BTP3982,10,20,Sleeveless,Round,"Crop Top, Full",Regular,Pocket,Casual,Single,Caucasian,,
CAPELLA APPAREL,BTP3994,10.5,22.75,Sleeveless,Spaghetti,"Crop Top, Full",Regular,"Drawstring, Pocket, Wide Leg",Casual,Single,"Latina/Black, Caucasian",Size Chart,6/5 outdoor pic
CAPELLA APPAREL,BTP3994X,12.5,25.75,Sleeveless,Spaghetti,"Crop Top, Full",Regular,"Drawstring, Pocket, Wide Leg",Casual,Single,"Plus, Latina/Black",,
CAPELLA APPAREL,BTP5213,6,9.89,Sleeveless,One Shoulder,"Crop Top, Shorts",Slim,Exposed Seam,Casual,Single,Latina/Black,,5/30 outdoor pic
CAPELLA APPAREL,BTP5239,8.75,20,Sleeveless,Tube,"Crop Top, Full",Slim,"Corset, Wide Leg",Casual,Single,"Latina/Black, Caucasian",Size Chart,
CAPELLA APPAREL,BTP5247,9.5,19.25,Sleeveless,Tube,"Waist Top, Full",Regular,"Wide Leg, Slit",Casual,Single,Latina/Black,,6/5 outdoor pic
